City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Natchitoches,US,31.7668,-93.1335,68.0,77,1,6.91,1619831410
Hailey,US,43.5196,-114.3153,75.2,19,1,10.36,1619831410
Sheffield,GB,53.383,-1.4659,39.0,89,15,4.29,1619831410
Paita,PE,-5.0892,-81.1144,71.13,77,36,14.16,1619831411
Mnogovershinnyy,RU,53.9353,139.9242,32.31,85,100,3.33,1619831412
Fare,PF,-16.7,-151.0167,80.94,72,100,5.1,1619831412
Tashtyp,RU,52.7939,89.8983,42.51,91,100,3.06,1619831413
Tibati,CM,6.4667,12.6333,68.83,84,48,2.8,1619831413
Storforshei,NO,66.4043,14.5233,32.0,75,90,2.19,1619831413
Sauda,NO,59.6506,6.3542,39.0,78,24,5.5,1619831414
Magadan,RU,59.5667,150.8,34.18,81,100,1.81,1619831414
Seoul,KR,37.5683,126.9778,53.6,71,75,6.91,1619831400
Padang,ID,-0.9492,100.3543,78.8,94,20,2.3,1619831414
Merauke,ID,-8.4667,140.3333,83.07,69,12,10.42,1619831415
Adrar,MR,20.5022,-10.0711,77.63,42,96,4.45,1619831415
Deputatsky,RU,69.3,139.9,25.02,89,100,4.12,1619831415
Dolinsk,RU,47.35,142.8,32.0,100,75,22.37,1619831416
Wajima,JP,37.4,136.9,55.4,82,0,3.44,1619831416
Inírida,CO,3.8653,-67.9239,71.1,98,76,2.75,1619831416
Tārūt,SA,26.5733,50.0369,75.2,27,0,10.36,1619831417
Valladolid,ES,41.5833,-4.6667,48.0,67,99,7.67,1619831417
Poquoson,US,37.1224,-76.3458,69.8,26,90,29.93,1619831417
Parrita,CR,9.5201,-84.3225,68.0,100,90,2.3,1619831418
Marawi,PH,7.9986,124.2928,84.99,74,76,4.0,1619831418
Saint-François,FR,46.4154,3.9054,46.4,87,90,2.3,1619831418
Katsuura,JP,35.1333,140.3,69.01,72,40,6.91,1619831419
Pecos,US,31.4229,-103.4932,62.01,77,90,5.75,1619831419
Ilulissat,GL,69.2167,-51.1,33.8,64,97,3.44,1619831420
Dakar,SN,14.6937,-17.4441,68.0,94,6,11.5,1619831365
Sohbatpur,PK,28.5202,68.5434,86.7,21,5,6.82,1619831420
Bambous Virieux,MU,-20.3428,57.7575,78.01,78,75,13.8,1619831421
Kirakira,SB,-10.4544,161.9205,82.51,77,97,4.21,1619831422
Kulhudhuffushi,MV,6.6221,73.07,83.21,74,98,4.99,1619831422
Algiers,DZ,36.7525,3.042,62.6,82,75,9.22,1619831241
Carutapera,BR,-1.195,-46.02,75.87,92,57,4.16,1619831422
Altus,US,34.6381,-99.334,75.2,29,1,6.91,1619831423
Pisco,PE,-13.7,-76.2167,64.99,90,6,8.01,1619831423
Semey,KZ,50.4111,80.2275,42.8,70,0,13.42,1619831424
Atar,MR,20.5169,-13.0499,81.07,18,0,3.94,1619831424
Maneromango,TZ,-7.1988,38.7848,75.2,94,20,5.75,1619831425
Pevek,RU,69.7008,170.3133,19.06,81,100,16.24,1619831425
Joshīmath,IN,30.5667,79.5667,56.84,60,13,6.69,1619831425
Tabuk,PH,17.4189,121.4443,83.5,69,77,5.03,1619831426
Bilibino,RU,68.0546,166.4372,16.77,73,71,2.24,1619831426
Kajaani,FI,64.2273,27.7285,26.6,74,40,8.05,1619831427
Viedma,AR,-40.8135,-62.9967,68.99,46,100,17.36,1619831184
Saint-Pierre,RE,-21.3393,55.4781,73.99,78,0,6.91,1619831427
Mago,RU,53.2514,140.1822,39.27,72,100,3.96,1619831427
Manaus,BR,-3.1019,-60.025,80.6,83,20,6.91,1619831428
Makar'yev,RU,57.8797,43.8069,49.93,90,100,12.88,1619831428
Clyde River,CA,70.4692,-68.5914,19.4,100,90,4.61,1619831429
Nakamura,JP,32.9833,132.9333,68.29,85,99,12.75,1619831430
Naples,IT,40.8333,14.25,66.99,67,0,3.44,1619831430
Emirdağ,TR,39.0197,31.15,57.83,56,1,3.06,1619831430
Araguari,BR,-18.6472,-48.1872,68.0,73,0,8.05,1619831431
Arrondissement de Cahors,FR,44.4167,1.3333,51.8,87,100,6.91,1619831431
Winburg,ZA,-28.518,27.0093,44.42,92,0,3.71,1619831431
Kaseda-shirakame,JP,31.4167,130.3167,73.4,73,75,17.27,1619831432
Nelson Bay,AU,-32.7167,152.15,75.99,73,40,3.44,1619831432
Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,66.0,80,1,6.22,1619831432
La Rioja,ES,42.25,-2.5,46.99,87,90,6.91,1619831433
Am Timan,TD,11.0297,20.2827,91.18,23,91,3.8,1619831433
Ağdaş,AZ,40.65,47.4761,57.2,88,40,5.75,1619831417
Willowmore,ZA,-33.2926,23.4895,46.54,78,0,1.45,1619831434
Barinitas,VE,8.7622,-70.4111,78.8,83,100,1.14,1619831434
Xining,CN,36.6167,101.7667,55.24,27,71,2.35,1619831423
Korla,CN,41.7597,86.1469,71.96,16,0,3.42,1619831435
Lüderitz,NA,-26.6481,15.1594,62.58,40,0,13.82,1619831435
Lata,PT,40.1629,-8.3327,53.01,83,30,2.3,1619831436
Gallup,US,35.5281,-108.7426,77.0,11,1,3.83,1619831436
Barrhead,GB,55.7992,-4.3929,39.99,100,97,2.3,1619831436
North Bay,CA,46.3168,-79.4663,34.0,86,40,10.36,1619831204
Gambo,CF,4.6482,22.2633,69.85,91,100,2.55,1619831437
Camacha,PT,33.0833,-16.3333,60.8,72,20,6.91,1619831437
Uchaly,RU,54.2996,59.4521,34.23,77,21,5.28,1619831437
Svoge,BG,42.9667,23.35,59.0,77,0,3.44,1619831438
Sisimiut,GL,66.9395,-53.6735,33.96,84,100,1.79,1619831438
Iqaluit,CA,63.7506,-68.5145,35.6,75,75,10.36,1619831440
Qasigiannguit,GL,68.8193,-51.1922,33.8,64,99,3.44,1619831440
Shelburne,CA,44.0787,-80.2041,42.01,78,13,18.99,1619831441
Port Jervis,US,41.3751,-74.6927,46.99,52,53,3.0,1619831441
Najrān,SA,17.4924,44.1277,77.0,29,75,2.3,1619831441
Northam,GB,51.0333,-4.2167,39.0,1,8,3.94,1619831441
Muisne,EC,0.6,-80.0333,75.88,90,100,4.38,1619831442
Rabo de Peixe,PT,37.8,-25.5833,51.8,71,20,2.3,1619831442
Saint George,US,37.1041,-113.5841,91.99,10,1,12.66,1619831232
Fairbanks,US,64.8378,-147.7164,37.99,51,90,12.66,1619831320
Rawson,AR,-43.3002,-65.1023,65.32,34,100,3.71,1619831443
Lima,PE,-12.0432,-77.0282,69.01,82,40,9.22,1619831400
Durban,ZA,-29.8579,31.0292,62.01,82,75,11.5,1619831444
Rocha,UY,-34.4833,-54.3333,55.15,76,100,6.44,1619831445
Bafoulabé,ML,13.8065,-10.8321,95.38,22,17,8.77,1619831445
Bereda,ES,43.2686,-7.5406,41.0,100,90,1.99,1619831446
Bethanien,NA,-26.502,17.1583,52.86,35,0,5.14,1619831446
Tawao,MY,4.2498,117.8871,82.4,89,20,2.3,1619831446
Pimentel,PE,-6.8367,-79.9342,68.0,77,90,17.27,1619831447
Ubinskoye,RU,55.3068,79.6802,42.44,78,98,11.18,1619831447
Bandarbeyla,SO,9.4942,50.8122,82.38,74,100,1.81,1619831448
Yining,CN,29.0361,114.5636,79.5,58,0,0.38,1619831449
Phalaborwa,ZA,-23.943,31.1411,64.4,94,83,8.05,1619831450
Zhangye,CN,38.9342,100.4517,67.69,16,99,5.5,1619831450
Idenao,CM,4.2475,9.0047,78.8,89,20,5.75,1619831451
Conceição da Barra,BR,-18.5933,-39.7322,72.68,74,97,9.62,1619831451
Walvis Bay,NA,-22.9575,14.5053,57.0,87,0,8.05,1619831451
Sai Buri,TH,6.7013,101.6168,77.0,94,20,4.61,1619831452
Medyn',RU,54.9692,35.8586,50.0,87,39,8.95,1619831452
Dvinskoy Bereznik,RU,62.8551,42.7072,33.87,94,100,2.24,1619831453
Half Moon Bay,US,37.4636,-122.4286,64.0,87,90,12.66,1619831453
Nabire,ID,-3.3667,135.4833,85.51,65,82,2.15,1619831454
Dodge City,US,37.7528,-100.0171,73.0,28,1,9.22,1619831159
Ipixuna,BR,-1.7625,-48.8043,73.4,100,75,8.05,1619831455
Agadez,NE,19.75,10.25,81.48,7,0,6.8,1619831455
Road Town,VG,18.4167,-64.6167,79.0,78,40,8.05,1619831456
Rio Grande,BR,-32.035,-52.0986,63.0,92,0,13.71,1619831456
Kedrovyy,RU,56.1667,91.8167,44.6,53,0,2.24,1619831456
Tuatapere,NZ,-46.1333,167.6833,54.0,74,96,7.0,1619831457
Ko Samui,TH,9.5357,99.9357,83.98,72,95,8.86,1619831457
Sioux Lookout,CA,50.1001,-91.917,51.8,25,75,8.05,1619831458
Sawtell,AU,-30.3833,153.1,68.0,83,83,6.91,1619831458
Pachino,IT,36.7186,15.0907,64.4,59,99,3.44,1619831459
Oranjemund,NA,-28.55,16.4333,55.81,73,0,7.76,1619831459
Pangani,TZ,-5.4333,38.9667,74.57,91,100,7.16,1619831460
Kenosha,US,42.5667,-88.0501,44.01,61,1,10.36,1619831315
Soe,ID,-9.8607,124.284,75.22,66,16,7.09,1619831460
Riyadh,SA,24.6877,46.7219,78.8,14,0,5.75,1619831391
Churapcha,RU,62.0025,132.4325,39.78,92,98,7.58,1619831461
Saint-Leu,RE,-21.15,55.2833,75.2,78,0,3.44,1619831462
Guadalupe y Calvo,MX,26.1,-106.9667,46.98,62,90,8.1,1619831462
Tual,ID,-5.6667,132.75,83.39,73,38,14.03,1619831360
Bereket,TM,39.2446,55.5154,70.18,43,0,16.06,1619831463
Jishou,CN,28.3167,109.7167,76.95,65,100,2.75,1619831463
Burla,IN,21.5,83.8667,73.4,83,5,2.24,1619831464
Kautokeino,NO,69.0125,23.0412,8.13,87,64,9.42,1619831464
Duiwelskloof,ZA,-23.6934,30.14,59.7,92,100,4.65,1619831465
Malartic,CA,48.1335,-78.1328,30.0,69,75,20.71,1619831467
Ibrā’,OM,22.6906,58.5334,73.71,41,15,2.86,1619831467
La Macarena,CO,2.1837,-73.7849,70.12,99,94,2.53,1619831467
Haines Junction,CA,60.7522,-137.5108,46.4,42,100,12.66,1619831468
Kloulklubed,PW,7.0419,134.2556,87.8,70,75,12.66,1619831468
Malakal,SS,9.5334,31.6605,76.44,73,73,2.77,1619831469
Bhuj,IN,23.2667,69.6667,79.48,65,100,4.34,1619831469
Birobidzhan,RU,48.8,132.95,48.56,48,15,5.37,1619831463
Paramonga,PE,-10.6667,-77.8333,67.24,88,13,7.36,1619831470
Port Macquarie,AU,-31.4333,152.9167,75.99,62,15,1.99,1619831471
Belmonte,BR,-15.8631,-38.8828,73.4,83,75,6.91,1619831472
Khovd,MN,48.0056,91.6419,62.56,26,100,9.86,1619831472
Cabañas,CU,22.9758,-82.9219,78.01,88,75,2.3,1619831472
Kerema,PG,-7.9631,145.7785,82.24,70,6,3.65,1619831473
Mugumu,TZ,-1.85,34.7,57.61,86,92,2.66,1619831473
Plettenberg Bay,ZA,-34.0527,23.3716,55.08,71,0,4.23,1619831474
Lollar,DE,50.6465,8.705,44.01,73,100,1.36,1619831474
Karratha,AU,-20.7377,116.8463,86.88,30,0,11.07,1619831474
Tezpur,IN,26.6333,92.8,83.8,35,47,2.13,1619831428
Ambatofinandrahana,MG,-20.55,46.8,55.69,95,3,2.44,1619831475
Broken Hill,AU,-31.95,141.4333,68.0,42,100,11.5,1619831476
Eyl,SO,7.9803,49.8164,81.52,75,100,3.76,1619831476
Altay,CN,47.8667,88.1167,60.89,48,100,5.68,1619831359
Wiwilí,NI,13.6268,-85.8254,79.92,52,24,5.39,1619831476
Pahrump,US,36.2083,-115.9839,96.01,8,7,4.0,1619831477
Quisqueya,DO,18.5554,-69.4081,77.0,83,40,4.61,1619831477
Dārāb,IR,28.7519,54.5444,65.93,57,100,2.3,1619831477
Smithers,CA,54.7804,-127.1743,50.0,62,90,4.61,1619831256
Romny,UA,50.751,33.4747,50.68,96,71,6.17,1619831478
Stolin,BY,51.8912,26.846,41.02,90,73,6.71,1619831478
Berdigestyakh,RU,62.0989,126.6992,35.58,98,100,6.06,1619831479
Matagami,CA,49.7502,-77.6328,24.8,58,90,24.16,1619831479
Marsá Maţrūḩ,EG,31.3525,27.2453,66.2,30,0,8.05,1619831231
Ketchikan,US,55.3422,-131.6461,46.4,93,90,12.66,1619831330
Marrakesh,MA,31.6315,-8.0083,55.4,71,40,5.75,1619831462
Ambon City,ID,-3.6954,128.1814,89.6,62,40,2.3,1619831480
Suleja,NG,9.1758,7.1808,81.48,57,100,4.5,1619831480
Sørland,NO,67.667,12.6934,35.67,60,100,13.87,1619831481
Sol'vychegodsk,RU,61.3305,46.9156,39.27,98,100,5.08,1619831481
Comodoro Rivadavia,AR,-45.8667,-67.5,64.4,59,0,2.3,1619831481
Kununurra,AU,-15.7667,128.7333,86.0,35,0,6.91,1619831482
Warrnambool,AU,-38.3833,142.4833,66.0,64,100,5.99,1619831482
Kultuk,RU,51.7208,103.6956,39.58,98,100,2.15,1619831482
Ābādān,IR,30.3392,48.3043,80.6,41,0,4.61,1619831483
Abu Samrah,SY,35.3029,37.1841,66.58,37,0,4.72,1619831483
Norman Wells,CA,65.282,-126.8329,48.2,31,20,12.66,1619831484
Caceres,ES,39.522,-6.3748,46.0,81,99,1.99,1619831485
Hagi,JP,34.4,131.4167,71.6,60,75,11.5,1619831486
Lensk,RU,60.7253,114.9278,40.93,73,25,3.65,1619831486
Loikaw,MM,19.6742,97.2094,75.94,67,9,0.27,1619831487
São Gabriel da Cachoeira,BR,-0.1303,-67.0892,72.73,98,100,3.09,1619831488
Talcahuano,CL,-36.7167,-73.1167,57.2,94,90,16.11,1619831489
Sangar,RU,63.9242,127.4739,36.91,78,100,5.08,1619831489
